Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #137,1971-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #138,1971-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #155,1972-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #156,1973-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #159,1973-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #163,1973-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #165,1973-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #169,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #170,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #171,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #172,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #173,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #178,1974-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #182,1975-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #194,1975-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #195,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #196,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #197,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #199,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #201,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #202,1976-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #207,1977-01-01,1,0,0
Marvel Comics,Captain America & The Falcon,Captain America & The Falcon #209,1977-01-01,1,0,0
Marvel Comics,Captain America,Captain America #290,1984-01-01,1,0,0
Marvel Comics,Captain America,Captain America #323,1987-01-01,1,0,0
Marvel Comics,Captain America,Captain America #350,1989-01-01,1,0,0
Marvel Comics,Captain America,Captain America #352,1989-01-01,1,0,0
Marvel Comics,Captain Marvel Giant-Size,Captain Marvel Giant-Size #1,1975-01-01,1,0,0
Marvel Comics,Ultimate Fallout,Ultimate Fallout #4,2011-01-01,1,0,0
Marvel Comics,Civil War,Civil War #1,2006-01-01,1,0,0
Marvel Comics,Civil War,Civil War #1,2024-01-01,1,0,0
Marvel Comics,Ultimates,Ultimates #1,2024-01-01,1,0,0
Marvel Comics,Magic: The Gathering,Magic: The Gathering #1,2024-01-01,1,0,0
Marvel Comics,Death of the Silver Surfer,Death of the Silver Surfer #1,2024-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #52,2024-01-01,1,0,0
Marvel Comics,Fantastic Four,Fantastic Four #5,2024-01-01,1,0,0
