title,issue,url,px_w,px_h,est_img_tokens
The Amazing Spider-Man,26,https://comicvine.gamespot.com/a/uploads/scale_medium/11144/111442876/8962276-cerc.jpg,0,0,550
Rogue,4,https://static.wikia.nocookie.net/marveldatabase/images/0/02/Rogue_Vol_4_4.jpg,0,0,550
Fantastic Four,2,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9825209-wwww.jpg,0,0,550
Black Canary: Best of the Best,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9546469-wwww.jpg,0,0,550
Black Cat,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9311471-wwww.jpg,0,0,550
Fire and Ice,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9944843-cover.jpg,0,0,550
Transformers,26,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9913103-cover.jpg,0,0,550
Transformers,30,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/10010851-cover.jpg,0,0,550
Fantastic Four,10,https://static.wikia.nocookie.net/marveldatabase/images/c/ce/Fantastic_Four_Vol_7_10.jpg,0,0,550
Fantastic Four,1,https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Fantastic_Four_Vol_8_1.jpg,0,0,550
Fantastic Four,2,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9825209-wwww.jpg,0,0,550
Fantastic Four,3,https://static.wikia.nocookie.net/marveldatabase/images/f/f1/Fantastic_Four_Vol_7_3.jpg,0,0,550
Fantastic Four,4,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/Fantastic_Four_Vol_7_4.jpg,0,0,550
Fantastic Four,5,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/60343-10865-93338-1-marvel-age-fantasti.jpg,0,0,550
Vengeance of the Moon Knight,6,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9396863-wwww.jpg,0,0,550
Iron Man,4,https://static.wikia.nocookie.net/marveldatabase/images/a/ac/Iron_Man_Vol_6_4.jpg,0,0,550
Captain America,10,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Captain_America_Vol_13_10.jpg,0,0,550
Superman/Spider-Man,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/10022967-cover.jpg,0,0,550
Absolute Batman,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9503379-wwww.jpg,0,0,550
Absolute Batman,2,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/10007775-wwww.jpg,0,0,550
Absolute Batman,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9569010-wwww.jpg,0,0,550
Absolute Batman,4,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9590753-wwww.jpg,0,0,550
Absolute Batman,5,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9627063-wwww.jpg,0,0,550
Absolute Batman,6,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9663675-cover.jpg,0,0,550
Absolute Batman,7,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9686308-wwww.jpg,0,0,550
Absolute Batman,8,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9720719-wwww.jpg,0,0,550
The Flash,112,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/37702-3790-42269-1-flash.jpg,0,0,550
The Flash,113,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/37788-3790-42374-1-flash.jpg,0,0,550
The Flash,114,https://static.wikia.nocookie.net/marvel_dc/images/2/27/Flash_v.2_114.jpg,0,0,550
The Flash,115,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/37945-3790-42574-1-flash.jpg,0,0,550
The Flash,116,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38024-3790-42673-1-flash.jpg,0,0,550
The Flash,117,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38102-3790-42773-1-flash.jpg,0,0,550
The Flash,118,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38170-3790-42860-1-flash.jpg,0,0,550
The Flash,119,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38249-3790-42955-1-flash.jpg,0,0,550
The Flash,120,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38324-3790-43047-1-flash.jpg,0,0,550
The Flash,122,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38573-3790-43344-1-flash.jpg,0,0,550
The Flash,123,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38675-3790-43459-1-flash.jpg,0,0,550
The Flash,124,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38753-3790-43556-1-flash.jpg,0,0,550
The Flash,125,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/38842-3790-43659-1-flash.jpg,0,0,550
